"filename", "language", "JavaScript", "JSON with Comments", "MS SQL", "TypeScript", "Markdown", "TypeScript JSX", "JSON", "XML", "PostCSS", "comment", "blank", "total"
"d:\IT - 3rd year\IT 4\ibrahim\UniBot\uni_system\unibot-platform\src\app\academic-management\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 4, 26
"d:\IT - 3rd year\IT 4\ibrahim\UniBot\uni_system\unibot-platform\src\app\academic-management\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 90, 0, 0, 0, 9, 16, 115
"d:\IT - 3rd year\IT 4\ibrahim\UniBot\uni_system\unibot-platform\src\app\academic-management\profile\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 3, 23
"d:\IT - 3rd year\IT 4\ibrahim\UniBot\uni_system\unibot-platform\src\app\academic-management\schedules\actions.ts", "TypeScript", 0, 0, 0, 195, 0, 0, 0, 0, 0, 17, 43, 255
"d:\IT - 3rd year\IT 4\ibrahim\UniBot\uni_system\unibot-platform\src\app\academic-management\schedules\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 66, 0, 0, 0, 2, 7, 75
"d:\IT - 3rd year\IT 4\ibrahim\UniBot\uni_system\unibot-platform\src\app\academic-management\schedules\schedules-client.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 895, 0, 0, 0, 31, 68, 994
"d:\IT - 3rd year\IT 4\ibrahim\UniBot\uni_system\unibot-platform\src\app\academic-management\tickets\actions.ts", "TypeScript", 0, 0, 0, 194, 0, 0, 0, 0, 0, 0, 36, 230
"d:\IT - 3rd year\IT 4\ibrahim\UniBot\uni_system\unibot-platform\src\app\academic-management\tickets\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 3, 12
"d:\IT - 3rd year\IT 4\ibrahim\UniBot\uni_system\unibot-platform\src\app\academic-management\tickets\tickets-admin-client.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 600, 0, 0, 0, 0, 35, 635
"d:\IT - 3rd year\IT 4\ibrahim\UniBot\uni_system\unibot-platform\src\app\api\ai\chat\route.ts", "TypeScript", 0, 0, 0, 373, 0, 0, 0, 0, 0, 37, 54, 464
"d:\IT - 3rd year\IT 4\ibrahim\UniBot\uni_system\unibot-platform\src\app\api\ai\ingest\route.ts", "TypeScript", 0, 0, 0, 30, 0, 0, 0, 0, 0, 8, 6, 44
"d:\IT - 3rd year\IT 4\ibrahim\UniBot\uni_system\unibot-platform\src\app\api\analytics\compute-risk\route.ts", "TypeScript", 0, 0, 0, 247, 0, 0, 0, 0, 0, 13, 41, 301
"d:\IT - 3rd year\IT 4\ibrahim\UniBot\uni_system\unibot-platform\src\app\api\storage\download\route.ts", "TypeScript", 0, 0, 0, 35, 0, 0, 0, 0, 0, 4, 11, 50
"d:\IT - 3rd year\IT 4\ibrahim\UniBot\uni_system\unibot-platform\src\app\faculty\assignments\actions.ts", "TypeScript", 0, 0, 0, 105, 0, 0, 0, 0, 0, 0, 29, 134
"d:\IT - 3rd year\IT 4\ibrahim\UniBot\uni_system\unibot-platform\src\app\faculty\assignments\assignments-client.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 293, 0, 0, 0, 0, 13, 306
"d:\IT - 3rd year\IT 4\ibrahim\UniBot\uni_system\unibot-platform\src\app\faculty\assignments\loading.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 1, 5
"d:\IT - 3rd year\IT 4\ibrahim\UniBot\uni_system\unibot-platform\src\app\faculty\assignments\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 41, 0, 0, 0, 1, 5, 47
"d:\IT - 3rd year\IT 4\ibrahim\UniBot\uni_system\unibot-platform\src\app\faculty\attendance\actions.ts", "TypeScript", 0, 0, 0, 161, 0, 0, 0, 0, 0, 6, 38, 205
"d:\IT - 3rd year\IT 4\ibrahim\UniBot\uni_system\unibot-platform\src\app\faculty\attendance\attendance-client.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 344, 0, 0, 0, 4, 19, 367
"d:\IT - 3rd year\IT 4\ibrahim\UniBot\uni_system\unibot-platform\src\app\faculty\attendance\loading.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 1, 5
"d:\IT - 3rd year\IT 4\ibrahim\UniBot\uni_system\unibot-platform\src\app\faculty\attendance\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 43, 0, 0, 0, 1, 5, 49
"d:\IT - 3rd year\IT 4\ibrahim\UniBot\uni_system\unibot-platform\src\app\faculty\circulars\actions.ts", "TypeScript", 0, 0, 0, 100, 0, 0, 0, 0, 0, 11, 22, 133
"d:\IT - 3rd year\IT 4\ibrahim\UniBot\uni_system\unibot-platform\src\app\faculty\circulars\circulars-client.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 460, 0, 0, 0, 5, 34, 499
"d:\IT - 3rd year\IT 4\ibrahim\UniBot\uni_system\unibot-platform\src\app\faculty\circulars\loading.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 1, 5
"d:\IT - 3rd year\IT 4\ibrahim\UniBot\uni_system\unibot-platform\src\app\faculty\circulars\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 60, 0, 0, 0, 3, 9, 72
"d:\IT - 3rd year\IT 4\ibrahim\UniBot\uni_system\unibot-platform\src\app\faculty\components\sidebar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 101, 0, 0, 0, 0, 9, 110
"d:\IT - 3rd year\IT 4\ibrahim\UniBot\uni_system\unibot-platform\src\app\faculty\faculty-client.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 271, 0, 0, 0, 4, 15, 290
"d:\IT - 3rd year\IT 4\ibrahim\UniBot\uni_system\unibot-platform\src\app\faculty\gradebook\actions.ts", "TypeScript", 0, 0, 0, 95, 0, 0, 0, 0, 0, 0, 27, 122
"d:\IT - 3rd year\IT 4\ibrahim\UniBot\uni_system\unibot-platform\src\app\faculty\gradebook\gradebook-client.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 319, 0, 0, 0, 0, 27, 346
