"filename", "language", "XML", "JSON with Comments", "Markdown", "JSON", "JavaScript", "TypeScript", "CSS", "TypeScript JSX", "MS SQL", "comment", "blank", "total"
"d:\IT - 3rd year\IT 4\ibrahim\التوثيقات\UniBot\unibot-platform\src\app\super-admin\plans\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 24, 0, 0, 4, 28
"d:\IT - 3rd year\IT 4\ibrahim\التوثيقات\UniBot\unibot-platform\src\app\super-admin\plans\plans-client.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 311, 0, 0, 21, 332
"d:\IT - 3rd year\IT 4\ibrahim\التوثيقات\UniBot\unibot-platform\src\app\super-admin\tenants\actions.ts", "TypeScript", 0, 0, 0, 0, 0, 128, 0, 0, 0, 0, 26, 154
"d:\IT - 3rd year\IT 4\ibrahim\التوثيقات\UniBot\unibot-platform\src\app\super-admin\tenants\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 27, 0, 0, 5, 32
"d:\IT - 3rd year\IT 4\ibrahim\التوثيقات\UniBot\unibot-platform\src\app\super-admin\tenants\tenants-client.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 593, 0, 0, 30, 623
"d:\IT - 3rd year\IT 4\ibrahim\التوثيقات\UniBot\unibot-platform\src\app\tenant-admin\academic\academic-client.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 515, 0, 0, 37, 552
"d:\IT - 3rd year\IT 4\ibrahim\التوثيقات\UniBot\unibot-platform\src\app\tenant-admin\academic\actions.ts", "TypeScript", 0, 0, 0, 0, 0, 190, 0, 0, 0, 0, 52, 242
"d:\IT - 3rd year\IT 4\ibrahim\التوثيقات\UniBot\unibot-platform\src\app\tenant-admin\academic\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 33, 0, 0, 5, 38
"d:\IT - 3rd year\IT 4\ibrahim\التوثيقات\UniBot\unibot-platform\src\app\tenant-admin\calendar\actions.ts", "TypeScript", 0, 0, 0, 0, 0, 86, 0, 0, 0, 0, 17, 103
"d:\IT - 3rd year\IT 4\ibrahim\التوثيقات\UniBot\unibot-platform\src\app\tenant-admin\calendar\calendar-client.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 477, 0, 0, 24, 501
"d:\IT - 3rd year\IT 4\ibrahim\التوثيقات\UniBot\unibot-platform\src\app\tenant-admin\calendar\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 4, 27
"d:\IT - 3rd year\IT 4\ibrahim\التوثيقات\UniBot\unibot-platform\src\app\tenant-admin\components\sidebar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 88, 0, 0, 9, 97
"d:\IT - 3rd year\IT 4\ibrahim\التوثيقات\UniBot\unibot-platform\src\app\tenant-admin\courses\actions.ts", "TypeScript", 0, 0, 0, 0, 0, 161, 0, 0, 0, 0, 35, 196
"d:\IT - 3rd year\IT 4\ibrahim\التوثيقات\UniBot\unibot-platform\src\app\tenant-admin\courses\courses-client.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 539, 0, 0, 32, 571
"d:\IT - 3rd year\IT 4\ibrahim\التوثيقات\UniBot\unibot-platform\src\app\tenant-admin\courses\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 50, 0, 0, 4, 54
"d:\IT - 3rd year\IT 4\ibrahim\التوثيقات\UniBot\unibot-platform\src\app\tenant-admin\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 3, 18
"d:\IT - 3rd year\IT 4\ibrahim\التوثيقات\UniBot\unibot-platform\src\app\tenant-admin\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 150, 0, 0, 13, 163
"d:\IT - 3rd year\IT 4\ibrahim\التوثيقات\UniBot\unibot-platform\src\app\tenant-admin\settings\actions.ts", "TypeScript", 0, 0, 0, 0, 0, 48, 0, 0, 0, 0, 14, 62
"d:\IT - 3rd year\IT 4\ibrahim\التوثيقات\UniBot\unibot-platform\src\app\tenant-admin\settings\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 30, 0, 0, 5, 35
"d:\IT - 3rd year\IT 4\ibrahim\التوثيقات\UniBot\unibot-platform\src\app\tenant-admin\settings\settings-client.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 264, 0, 0, 20, 284
"d:\IT - 3rd year\IT 4\ibrahim\التوثيقات\UniBot\unibot-platform\src\app\tenant-admin\users\actions.ts", "TypeScript", 0, 0, 0, 0, 0, 247, 0, 0, 0, 0, 51, 298
"d:\IT - 3rd year\IT 4\ibrahim\التوثيقات\UniBot\unibot-platform\src\app\tenant-admin\users\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 45, 0, 0, 4, 49
"d:\IT - 3rd year\IT 4\ibrahim\التوثيقات\UniBot\unibot-platform\src\app\tenant-admin\users\users-client.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 413, 0, 0, 36, 449
"d:\IT - 3rd year\IT 4\ibrahim\التوثيقات\UniBot\unibot-platform\src\app\tenant-admin\venues\actions.ts", "TypeScript", 0, 0, 0, 0, 0, 64, 0, 0, 0, 0, 14, 78
"d:\IT - 3rd year\IT 4\ibrahim\التوثيقات\UniBot\unibot-platform\src\app\tenant-admin\venues\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 4, 27
"d:\IT - 3rd year\IT 4\ibrahim\التوثيقات\UniBot\unibot-platform\src\app\tenant-admin\venues\venues-client.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 203, 0, 0, 12, 215
"d:\IT - 3rd year\IT 4\ibrahim\التوثيقات\UniBot\unibot-platform\src\app\unauthorized\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 22, 0, 0, 2, 24
"d:\IT - 3rd year\IT 4\ibrahim\التوثيقات\UniBot\unibot-platform\src\components\notification-bell.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 146, 0, 0, 17, 163
"d:\IT - 3rd year\IT 4\ibrahim\التوثيقات\UniBot\unibot-platform\src\lib\auth\get-user.ts", "TypeScript", 0, 0, 0, 0, 0, 34, 0, 0, 0, 0, 10, 44
"d:\IT - 3rd year\IT 4\ibrahim\التوثيقات\UniBot\unibot-platform\src\lib\supabase\client.ts", "TypeScript", 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 2, 9
"d:\IT - 3rd year\IT 4\ibrahim\التوثيقات\UniBot\unibot-platform\src\lib\supabase\middleware.ts", "TypeScript", 0, 0, 0, 0, 0, 85, 0, 0, 0, 0, 11, 96
"d:\IT - 3rd year\IT 4\ibrahim\التوثيقات\UniBot\unibot-platform\src\lib\supabase\server.ts", "TypeScript", 0, 0, 0, 0, 0, 46, 0, 0, 0, 2, 5, 53
"d:\IT - 3rd year\IT 4\ibrahim\التوثيقات\UniBot\unibot-platform\src\lib\types\database.ts", "TypeScript", 0, 0, 0, 0, 0, 570, 0, 0, 0, 0, 65, 635
"d:\IT - 3rd year\IT 4\ibrahim\التوثيقات\UniBot\unibot-platform\src\middleware.ts", "TypeScript", 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 3, 13
"d:\IT - 3rd year\IT 4\ibrahim\التوثيقات\UniBot\unibot-platform\supabase\migrations\20260307022710_part1_core_system.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 909, 141, 201, 1251
"d:\IT - 3rd year\IT 4\ibrahim\التوثيقات\UniBot\unibot-platform\supabase\migrations\20260307022727_part2_lms_messaging.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 1242, 119, 206, 1567
"d:\IT - 3rd year\IT 4\ibrahim\التوثيقات\UniBot\unibot-platform\tsconfig.json", "JSON with Comments", 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 1, 35
"Total", "-", 5, 34, 777, 7092, 20, 2887, 24, 8800, 2151, 265, 1945, 24000
